data_date,I1
2014-09-12,20.14
2014-09-15,20.62
2014-09-16,20.43
2014-09-17,19.85
2014-09-18,20.45
2014-09-19,20.33
2014-09-22,19.91
2014-09-23,20.04
2014-09-24,20.5
2014-09-25,20.29
2014-09-26,20.12
2014-09-28,20.47
2014-09-29,20.67
2014-09-30,20.24
2014-10-08,20.3
2014-10-09,20.36
2014-10-10,20.42
2014-10-11,20.28
2014-10-13,20.41
2014-10-14,20.62
2014-10-15,20.42
2014-10-16,20.31
2014-10-17,21.2
2014-10-20,21.11
2014-10-21,20.69
2014-10-22,20.66
2014-10-23,20.47
2014-10-24,20.53
2014-10-27,20.27
2014-10-28,20.23
2014-10-29,19.9
2014-10-30,19.64
2014-10-31,19.56
2014-11-03,19.58
2014-11-04,20.21
2014-11-05,20.07
2014-11-06,19.99
2014-11-07,19.98
2014-11-10,20.2
2014-11-11,19.87
2014-11-12,20.16
2014-11-13,20.01
2014-11-14,19.49
2014-11-17,19.67
2014-11-18,19.92
2014-11-19,19.51
2014-11-20,19.45
2014-11-21,19.74
2014-11-24,19.73
2014-11-25,20.11
2014-11-26,19.75
2014-11-27,19.58
2014-11-28,20.0
2014-12-01,21.0
2014-12-02,20.32
2014-12-03,20.68
2014-12-04,20.25
2014-12-05,19.81
2014-12-08,19.5
2014-12-09,19.9
2014-12-10,20.03
2014-12-11,19.7
2014-12-12,20.02
2014-12-15,19.62
2014-12-16,19.1
2014-12-17,19.49
2014-12-18,19.61
2014-12-19,19.33
2014-12-22,19.21
2014-12-23,20.13
2014-12-24,19.93
2014-12-25,19.8
2014-12-26,19.31
2014-12-29,19.06
2014-12-30,19.05
2014-12-31,20.38
2015-01-04,19.53
2015-01-05,19.48
2015-01-06,19.61
2015-01-07,19.67
2015-01-08,19.82
2015-01-09,19.77
2015-01-12,20.04
2015-01-13,19.63
2015-01-14,19.59
2015-01-15,19.49
2015-01-16,19.41
2015-01-19,20.12
2015-01-20,19.91
2015-01-21,20.09
2015-01-22,19.78
2015-01-23,20.13
2015-01-26,19.73
2015-01-27,20.44
2015-01-28,20.36
2015-01-29,20.53
2015-01-30,19.75
2015-02-02,19.74
2015-02-03,19.25
2015-02-04,19.55
2015-02-05,19.39
2015-02-06,20.16
2015-02-09,20.08
2015-02-10,20.07
2015-02-11,20.1
2015-02-12,19.97
2015-02-13,19.34
2015-02-16,19.45
2015-02-27,19.35
2015-02-28,19.74
2015-03-02,19.22
2015-03-03,19.48
2015-03-04,19.77
2015-03-05,19.12
2015-03-06,19.31
2015-03-09,19.52
2015-03-10,19.05
2015-03-11,19.03
2015-03-12,19.65
2015-03-13,20.29
2015-03-16,20.0
2015-03-17,20.72
2015-03-18,20.52
2015-03-19,20.24
2015-03-20,19.3
2015-03-23,19.52
2015-03-24,19.83
2015-03-25,19.54
2015-03-26,19.51
2015-03-27,19.22
2015-03-30,19.0
2015-03-31,18.74
2015-04-01,19.31
2015-04-02,18.92
2015-04-03,19.83
2015-04-07,19.54
2015-04-08,19.66
2015-04-09,19.45
2015-04-10,20.39
2015-04-13,20.13
2015-04-14,20.28
2015-04-15,19.83
2015-04-16,19.97
2015-04-17,19.71
2015-04-20,19.95
2015-04-21,19.66
2015-04-22,19.57
2015-04-23,19.55
2015-04-24,19.38
2015-04-27,19.27
2015-04-28,19.14
2015-04-29,19.8
2015-04-30,19.87
2015-05-04,19.83
2015-05-05,19.77
2015-05-06,19.72
2015-05-07,19.4
2015-05-08,19.74
2015-05-11,20.4
2015-05-12,20.03
2015-05-13,19.97
2015-05-14,20.02
2015-05-15,19.05
2015-05-18,19.17
2015-05-19,19.35
2015-05-20,19.3
2015-05-21,19.32
2015-05-22,19.44
2015-05-25,19.19
2015-05-26,19.05
2015-05-27,18.95
2015-05-28,18.68
2015-05-29,18.73
2015-06-01,19.0
2015-06-02,19.36
2015-06-03,19.29
2015-06-04,19.44
2015-06-05,19.19
2015-06-08,18.68
2015-06-09,19.05
2015-06-10,18.95
2015-06-11,19.07
2015-06-12,18.69
2015-06-15,19.07
2015-06-16,18.62
2015-06-17,19.08
2015-06-18,18.89
2015-06-19,19.0
2015-06-23,19.45
2015-06-24,19.07
2015-06-25,18.89
2015-06-26,19.99
2015-06-29,19.53
2015-06-30,19.92
2015-07-01,19.68
2015-07-02,19.74
2015-07-03,19.09
2015-07-06,19.21
2015-07-07,18.34
2015-07-08,19.24
2015-07-09,19.13
2015-07-10,19.35
2015-07-13,19.5
2015-07-14,19.52
2015-07-15,18.98
2015-07-16,19.28
2015-07-17,19.69
2015-07-20,19.6
2015-07-21,19.32
2015-07-22,19.38
2015-07-23,19.26
2015-07-24,19.57
2015-07-27,19.41
2015-07-28,19.43
2015-07-29,19.03
2015-07-30,19.48
2015-07-31,18.08
2015-08-03,17.98
2015-08-04,18.77
2015-08-05,18.42
2015-08-06,18.31
2015-08-07,19.09
2015-08-10,19.13
2015-08-11,18.33
2015-08-12,18.68
2015-08-13,18.65
2015-08-14,18.72
2015-08-17,18.99
2015-08-18,18.93
2015-08-19,18.94
2015-08-20,19.24
2015-08-21,19.11
2015-08-24,19.12
2015-08-25,18.76
2015-08-26,18.66
2015-08-27,19.19
2015-08-28,19.19
2015-08-31,19.21
2015-09-01,19.2
2015-09-02,18.42
2015-09-06,18.38
2015-09-07,18.57
2015-09-08,18.25
2015-09-09,18.23
2015-09-10,18.54
2015-09-11,18.48
2015-09-14,18.68
2015-09-15,18.71
2015-09-16,18.94
2015-09-17,19.4
2015-09-18,19.25
2015-09-21,18.73
2015-09-22,19.02
